Country,Value,Year,unit
Australia,87900,2017,thousand metric tons
Bosnia Herzegovina,969,2017,thousand metric tons
Brazil,38500,2017,thousand metric tons
China,70000,2017,thousand metric tons
Dominican Republic,342,2017,thousand metric tons
Fiji,70,2017,thousand metric tons
Ghana,1939,2017,thousand metric tons
Greece,1800,2017,thousand metric tons
Guinea,46200,2017,thousand metric tons
Guyana,1500,2017,thousand metric tons
Hungary,12,2017,thousand metric tons
India,22900,2017,thousand metric tons
Indonesia,2900,2017,thousand metric tons
Iran,606,2017,thousand metric tons
Jamaica,8250,2017,thousand metric tons
Kazakhstan,5000,2017,thousand metric tons
Malaysia,2000,2017,thousand metric tons
Mexico,NA,2017,thousand metric tons
Montenegro,485,2017,thousand metric tons
Mozambique,6,2017,thousand metric tons
Pakistan,36,2017,thousand metric tons
Russian Federation,5520,2017,thousand metric tons
Saudi Arabia,4657,2017,thousand metric tons
Sierra Leone,1659,2017,thousand metric tons
Solomon Islands,288,2017,thousand metric tons
Suriname,NA,2017,thousand metric tons
United Republic of Tanzania,30,2017,thousand metric tons
Turkey,1575,2017,thousand metric tons
USA,NA,2017,thousand metric tons
Venezuela,1454,2017,thousand metric tons
Viet Nam,2400,2017,thousand metric tons
Australia,82000,2016,thousand metric tons
Bosnia Herzegovina,800,2016,thousand metric tons
Brazil,34400,2016,thousand metric tons
China,60800,2016,thousand metric tons
Dominican Republic,282,2016,thousand metric tons
Fiji,58,2016,thousand metric tons
Ghana,1600,2016,thousand metric tons
Greece,1800,2016,thousand metric tons
Guinea,31500,2016,thousand metric tons
Guyana,1700,2016,thousand metric tons
Hungary,10,2016,thousand metric tons
India,23886,2016,thousand metric tons
Indonesia,1400,2016,thousand metric tons
Iran,500,2016,thousand metric tons
Jamaica,8540,2016,thousand metric tons
Kazakhstan,5000,2016,thousand metric tons
Malaysia,1000,2016,thousand metric tons
Mexico,NA,2016,thousand metric tons
Montenegro,400,2016,thousand metric tons
Mozambique,5,2016,thousand metric tons
Pakistan,30,2016,thousand metric tons
Russian Federation,5431,2016,thousand metric tons
Saudi Arabia,3843,2016,thousand metric tons
Sierra Leone,1369,2016,thousand metric tons
Solomon Islands,238,2016,thousand metric tons
Suriname,NA,2016,thousand metric tons
United Republic of Tanzania,25,2016,thousand metric tons
Turkey,1300,2016,thousand metric tons
USA,NA,2016,thousand metric tons
Venezuela,1200,2016,thousand metric tons
Viet Nam,1200,2016,thousand metric tons
Australia,80910,2015,thousand metric tons
Bosnia Herzegovina,787,2015,thousand metric tons
Brazil,37057,2015,thousand metric tons
China,65000,2015,thousand metric tons
Dominican Republic,1724,2015,thousand metric tons
Fiji,250,2015,thousand metric tons
Ghana,1314,2015,thousand metric tons
Greece,1832,2015,thousand metric tons
Guinea,16303,2015,thousand metric tons
Guyana,1500,2015,thousand metric tons
Hungary,8,2015,thousand metric tons
India,27757,2015,thousand metric tons
Indonesia,472,2015,thousand metric tons
Iran,520,2015,thousand metric tons
Jamaica,9629,2015,thousand metric tons
Kazakhstan,4683,2015,thousand metric tons
Malaysia,35000,2015,thousand metric tons
Mexico,NA,2015,thousand metric tons
Montenegro,50,2015,thousand metric tons
Mozambique,5,2015,thousand metric tons
Pakistan,31,2015,thousand metric tons
Russian Federation,5900,2015,thousand metric tons
Saudi Arabia,1600,2015,thousand metric tons
Sierra Leone,1334,2015,thousand metric tons
Solomon Islands,270,2015,thousand metric tons
Suriname,1600,2015,thousand metric tons
United Republic of Tanzania,26,2015,thousand metric tons
Turkey,1340,2015,thousand metric tons
USA,NA,2015,thousand metric tons
Venezuela,992,2015,thousand metric tons
Viet Nam,1150,2015,thousand metric tons
Australia,78632,2014,thousand metric tons
Bosnia Herzegovina,605,2014,thousand metric tons
Brazil,36308,2014,thousand metric tons
China,59200,2014,thousand metric tons
Dominican Republic,1446,2014,thousand metric tons
Fiji,640,2014,thousand metric tons
Ghana,798,2014,thousand metric tons
Greece,1873,2014,thousand metric tons
Guinea,17257,2014,thousand metric tons
Guyana,1602,2014,thousand metric tons
Hungary,14,2014,thousand metric tons
India,22636,2014,thousand metric tons
Indonesia,2555,2014,thousand metric tons
Iran,540,2014,thousand metric tons
Jamaica,9677,2014,thousand metric tons
Kazakhstan,4516,2014,thousand metric tons
Malaysia,3665,2014,thousand metric tons
Mexico,NA,2014,thousand metric tons
Montenegro,155,2014,thousand metric tons
Mozambique,3,2014,thousand metric tons
Pakistan,30,2014,thousand metric tons
Russian Federation,6293,2014,thousand metric tons
Saudi Arabia,879,2014,thousand metric tons
Sierra Leone,1161,2014,thousand metric tons
Solomon Islands,NA,2014,thousand metric tons
Suriname,2708,2014,thousand metric tons
United Republic of Tanzania,26,2014,thousand metric tons
Turkey,1285,2014,thousand metric tons
USA,NA,2014,thousand metric tons
Venezuela,2346,2014,thousand metric tons
Viet Nam,1090,2014,thousand metric tons
Australia,81119,2013,thousand metric tons
Bosnia Herzegovina,657,2013,thousand metric tons
Brazil,33896,2013,thousand metric tons
China,50400,2013,thousand metric tons
Dominican Republic,770,2013,thousand metric tons
Fiji,600,2013,thousand metric tons
Ghana,909,2013,thousand metric tons
Greece,1844,2013,thousand metric tons
Guinea,16887,2013,thousand metric tons
Guyana,1649,2013,thousand metric tons
Hungary,94,2013,thousand metric tons
India,20664,2013,thousand metric tons
Indonesia,57024,2013,thousand metric tons
Iran,789,2013,thousand metric tons
Jamaica,9435,2013,thousand metric tons
Kazakhstan,5192,2013,thousand metric tons
Malaysia,209,2013,thousand metric tons
Mexico,NA,2013,thousand metric tons
Montenegro,61,2013,thousand metric tons
Mozambique,7,2013,thousand metric tons
Pakistan,27,2013,thousand metric tons
Russian Federation,6028,2013,thousand metric tons
Saudi Arabia,NA,2013,thousand metric tons
Sierra Leone,616,2013,thousand metric tons
Solomon Islands,NA,2013,thousand metric tons
Suriname,2706,2013,thousand metric tons
United Republic of Tanzania,34,2013,thousand metric tons
Turkey,914,2013,thousand metric tons
USA,NA,2013,thousand metric tons
Venezuela,2341,2013,thousand metric tons
Viet Nam,482,2013,thousand metric tons
Australia,76281,2012,thousand metric tons
Bosnia Herzegovina,800,2012,thousand metric tons
Brazil,34988,2012,thousand metric tons
China,47000,2012,thousand metric tons
Dominican Republic,11,2012,thousand metric tons
Fiji,500,2012,thousand metric tons
Ghana,753,2012,thousand metric tons
Greece,1816,2012,thousand metric tons
Guinea,16041,2012,thousand metric tons
Guyana,2210,2012,thousand metric tons
Hungary,144,2012,thousand metric tons
India,13463,2012,thousand metric tons
Indonesia,31443,2012,thousand metric tons
Iran,892,2012,thousand metric tons
Jamaica,9339,2012,thousand metric tons
Kazakhstan,5170,2012,thousand metric tons
Malaysia,122,2012,thousand metric tons
Mexico,96,2012,thousand metric tons
Montenegro,NA,2012,thousand metric tons
Mozambique,8,2012,thousand metric tons
Pakistan,30,2012,thousand metric tons
Russian Federation,5700,2012,thousand metric tons
Saudi Arabia,NA,2012,thousand metric tons
Sierra Leone,776,2012,thousand metric tons
Solomon Islands,NA,2012,thousand metric tons
Suriname,2873,2012,thousand metric tons
United Republic of Tanzania,59,2012,thousand metric tons
Turkey,1989,2012,thousand metric tons
USA,NA,2012,thousand metric tons
Venezuela,2286,2012,thousand metric tons
Viet Nam,100,2012,thousand metric tons
Australia,69976,2011,thousand metric tons
Bosnia Herzegovina,686,2011,thousand metric tons
Brazil,33624.6,2011,thousand metric tons
China,45000,2011,thousand metric tons
Dominican Republic,NA,2011,thousand metric tons
Fiji,50,2011,thousand metric tons
Ghana,236,2011,thousand metric tons
Greece,2324,2011,thousand metric tons
Guinea,15696,2011,thousand metric tons
Guyana,1818.399,2011,thousand metric tons
Hungary,155,2011,thousand metric tons
India,13000,2011,thousand metric tons
Indonesia,40643.9,2011,thousand metric tons
Iran,847,2011,thousand metric tons
Jamaica,10188.916,2011,thousand metric tons
Kazakhstan,5495,2011,thousand metric tons
Malaysia,183,2011,thousand metric tons
Mexico,14,2011,thousand metric tons
Montenegro,159,2011,thousand metric tons
Mozambique,10.352,2011,thousand metric tons
Pakistan,9,2011,thousand metric tons
Russian Federation,5943,2011,thousand metric tons
Saudi Arabia,206,2011,thousand metric tons
Sierra Leone,1300,2011,thousand metric tons
Solomon Islands,NA,2011,thousand metric tons
Suriname,3236,2011,thousand metric tons
United Republic of Tanzania,38,2011,thousand metric tons
Turkey,1024.915,2011,thousand metric tons
USA,NA,2011,thousand metric tons
Venezuela,2455,2011,thousand metric tons
Viet Nam,100,2011,thousand metric tons
Australia,68414,2010,thousand metric tons
Bosnia Herzegovina,844,2010,thousand metric tons
Brazil,32028,2010,thousand metric tons
China,44000,2010,thousand metric tons
Dominican Republic,9,2010,thousand metric tons
Fiji,NA,2010,thousand metric tons
Ghana,595,2010,thousand metric tons
Greece,1902,2010,thousand metric tons
Guinea,15900,2010,thousand metric tons
Guyana,1083,2010,thousand metric tons
Hungary,307,2010,thousand metric tons
India,14124,2010,thousand metric tons
Indonesia,27400,2010,thousand metric tons
Iran,681,2010,thousand metric tons
Jamaica,8540,2010,thousand metric tons
Kazakhstan,5310,2010,thousand metric tons
Malaysia,124,2010,thousand metric tons
Montenegro,61,2010,thousand metric tons
Mozambique,9,2010,thousand metric tons
Pakistan,10,2010,thousand metric tons
Russian Federation,5690,2010,thousand metric tons
Saudi Arabia,NA,2010,thousand metric tons
Sierra Leone,1089,2010,thousand metric tons
Suriname,3104,2010,thousand metric tons
United Republic of Tanzania,39,2010,thousand metric tons
Turkey,1311,2010,thousand metric tons
USA,NA,2010,thousand metric tons
Venezuela,3126,2010,thousand metric tons
Viet Nam,80,2010,thousand metric tons
Australia,65231,2009,thousand metric tons
Bosnia Herzegovina,555.82,2009,thousand metric tons
Brazil,26074,2009,thousand metric tons
China,40000,2009,thousand metric tons
Fiji,NA,2009,thousand metric tons
Ghana,490,2009,thousand metric tons
Greece,1935,2009,thousand metric tons
Guinea,13600,2009,thousand metric tons
Guyana,1485,2009,thousand metric tons
Hungary,267,2009,thousand metric tons
India,16000,2009,thousand metric tons
Indonesia,14700,2009,thousand metric tons
Iran,522.018,2009,thousand metric tons
Jamaica,7817.463,2009,thousand metric tons
Kazakhstan,5130,2009,thousand metric tons
Malaysia,263.432,2009,thousand metric tons
Montenegro,45.779,2009,thousand metric tons
Mozambique,3.612,2009,thousand metric tons
Pakistan,11.3,2009,thousand metric tons
Russian Federation,5775,2009,thousand metric tons
Sierra Leone,757,2009,thousand metric tons
Suriname,3388,2009,thousand metric tons
United Republic of Tanzania,122.92,2009,thousand metric tons
Turkey,1473.181,2009,thousand metric tons
USA,NA,2009,thousand metric tons
Venezuela,3611,2009,thousand metric tons
Viet Nam,80,2009,thousand metric tons
Australia,64038,2008,thousand metric tons
Bosnia Herzegovina,1018.333,2008,thousand metric tons
Brazil,28097.5,2008,thousand metric tons
China,35000,2008,thousand metric tons
Dominican Republic,400,2008,thousand metric tons
Fiji,NA,2008,thousand metric tons
Ghana,796,2008,thousand metric tons
Greece,2176.3,2008,thousand metric tons
Guinea,16000,2008,thousand metric tons
Guyana,2109,2008,thousand metric tons
Hungary,511,2008,thousand metric tons
India,21210,2008,thousand metric tons
Indonesia,17000,2008,thousand metric tons
Iran,715.339,2008,thousand metric tons
Jamaica,14636,2008,thousand metric tons
Kazakhstan,5160.1,2008,thousand metric tons
Malaysia,295.176,2008,thousand metric tons
Montenegro,671.811,2008,thousand metric tons
Mozambique,5.443,2008,thousand metric tons
Pakistan,25,2008,thousand metric tons
Russian Federation,5675,2008,thousand metric tons
Sierra Leone,954.37,2008,thousand metric tons
Suriname,5333,2008,thousand metric tons
United Republic of Tanzania,20.601,2008,thousand metric tons
Turkey,819.928,2008,thousand metric tons
USA,NA,2008,thousand metric tons
Venezuela,4192,2008,thousand metric tons
Viet Nam,80,2008,thousand metric tons
Australia,62398,2007,thousand metric tons
Bosnia Herzegovina,866.933,2007,thousand metric tons
Brazil,25460.7,2007,thousand metric tons
China,30000,2007,thousand metric tons
Dominican Republic,500,2007,thousand metric tons
Ghana,748.232,2007,thousand metric tons
Greece,2125.9,2007,thousand metric tons
Guinea,18519,2007,thousand metric tons
Guyana,2239,2007,thousand metric tons
Hungary,546.4,2007,thousand metric tons
India,20343,2007,thousand metric tons
Indonesia,18700,2007,thousand metric tons
Iran,500,2007,thousand metric tons
Jamaica,14568,2007,thousand metric tons
Kazakhstan,4963,2007,thousand metric tons
Malaysia,156.785,2007,thousand metric tons
Montenegro,667.053,2007,thousand metric tons
Mozambique,8.645,2007,thousand metric tons
Pakistan,27.382,2007,thousand metric tons
Russian Federation,5775,2007,thousand metric tons
Sierra Leone,1169.04,2007,thousand metric tons
Suriname,5054,2007,thousand metric tons
United Republic of Tanzania,5.003,2007,thousand metric tons
Turkey,343.564,2007,thousand metric tons
USA,NA,2007,thousand metric tons
Venezuela,5323,2007,thousand metric tons
Viet Nam,80,2007,thousand metric tons
Australia,61780,2006,thousand metric tons
Bosnia Herzegovina,854.047,2006,thousand metric tons
Brazil,23236.3,2006,thousand metric tons
China,27000,2006,thousand metric tons
Dominican Republic,500,2006,thousand metric tons
Ghana,842,2006,thousand metric tons
Greece,2163,2006,thousand metric tons
Guinea,18784,2006,thousand metric tons
Guyana,1479,2006,thousand metric tons
Hungary,538.3,2006,thousand metric tons
India,13940,2006,thousand metric tons
Indonesia,1502,2006,thousand metric tons
Iran,500,2006,thousand metric tons
Jamaica,14865,2006,thousand metric tons
Kazakhstan,4883.8,2006,thousand metric tons
Malaysia,91.806,2006,thousand metric tons
Montenegro,659.37,2006,thousand metric tons
Mozambique,11.069,2006,thousand metric tons
Pakistan,12.917,2006,thousand metric tons
Russian Federation,6300,2006,thousand metric tons
Sierra Leone,1071.14,2006,thousand metric tons
Suriname,4924,2006,thousand metric tons
United Republic of Tanzania,5.373,2006,thousand metric tons
Turkey,771.227,2006,thousand metric tons
USA,NA,2006,thousand metric tons
Venezuela,5928,2006,thousand metric tons
Viet Nam,60,2006,thousand metric tons
Australia,59959,2005,thousand metric tons
Bosnia Herzegovina,1031.618,2005,thousand metric tons
Brazil,22034,2005,thousand metric tons
China,22000,2005,thousand metric tons
Dominican Republic,534.555,2005,thousand metric tons
Ghana,607,2005,thousand metric tons
Greece,2495,2005,thousand metric tons
Guinea,16817,2005,thousand metric tons
Guyana,1694,2005,thousand metric tons
Hungary,535,2005,thousand metric tons
India,12385,2005,thousand metric tons
Indonesia,1442,2005,thousand metric tons
Iran,437.595,2005,thousand metric tons
Jamaica,14116,2005,thousand metric tons
Kazakhstan,4815.4,2005,thousand metric tons
Malaysia,4.735,2005,thousand metric tons
Montenegro,672.345,2005,thousand metric tons
Mozambique,9.518,2005,thousand metric tons
Pakistan,6.504,2005,thousand metric tons
Russian Federation,5000,2005,thousand metric tons
Sierra Leone,NA,2005,thousand metric tons
Suriname,4757,2005,thousand metric tons
United Republic of Tanzania,1.64,2005,thousand metric tons
Turkey,475.349,2005,thousand metric tons
USA,NA,2005,thousand metric tons
Venezuela,5900,2005,thousand metric tons
Viet Nam,25.8,2005,thousand metric tons
Australia,56593,2004,thousand metric tons
Bosnia Herzegovina,916.928,2004,thousand metric tons
Brazil,20950,2004,thousand metric tons
China,17000,2004,thousand metric tons
Dominican Republic,79.498,2004,thousand metric tons
Ghana,498.06,2004,thousand metric tons
Greece,2444,2004,thousand metric tons
Guinea,15254,2004,thousand metric tons
Guyana,1506,2004,thousand metric tons
Hungary,647,2004,thousand metric tons
India,11285,2004,thousand metric tons
Indonesia,1331,2004,thousand metric tons
Iran,419.955,2004,thousand metric tons
Jamaica,13296.481,2004,thousand metric tons
Kazakhstan,4705.4,2004,thousand metric tons
Malaysia,2.04,2004,thousand metric tons
Montenegro,610,2004,thousand metric tons
Mozambique,6.723,2004,thousand metric tons
Pakistan,4.847,2004,thousand metric tons
Russian Federation,6000,2004,thousand metric tons
Sierra Leone,NA,2004,thousand metric tons
Suriname,4051.7,2004,thousand metric tons
United Republic of Tanzania,NA,2004,thousand metric tons
Turkey,365.836,2004,thousand metric tons
USA,NA,2004,thousand metric tons
Venezuela,5842,2004,thousand metric tons
Viet Nam,20,2004,thousand metric tons
Australia,55602,2003,thousand metric tons
Bosnia Herzegovina,573,2003,thousand metric tons
Brazil,17363,2003,thousand metric tons
China,13000,2003,thousand metric tons
Dominican Republic,6.481,2003,thousand metric tons
Ghana,494.716,2003,thousand metric tons
Greece,2418,2003,thousand metric tons
Guinea,15000,2003,thousand metric tons
Guyana,1846,2003,thousand metric tons
Hungary,666,2003,thousand metric tons
India,10414,2003,thousand metric tons
Indonesia,1263,2003,thousand metric tons
Iran,365.837,2003,thousand metric tons
Jamaica,13444.424,2003,thousand metric tons
Kazakhstan,4737.1,2003,thousand metric tons
Malaysia,5.7,2003,thousand metric tons
Montenegro,540.051,2003,thousand metric tons
Mozambique,11.793,2003,thousand metric tons
Pakistan,4.098,2003,thousand metric tons
Russian Federation,5500,2003,thousand metric tons
Sierra Leone,NA,2003,thousand metric tons
Suriname,4215.1,2003,thousand metric tons
United Republic of Tanzania,NA,2003,thousand metric tons
Turkey,364.306,2003,thousand metric tons
USA,NA,2003,thousand metric tons
Venezuela,5445.516,2003,thousand metric tons
Viet Nam,20,2003,thousand metric tons
Australia,54135,2002,thousand metric tons
Bosnia Herzegovina,113,2002,thousand metric tons
Brazil,13260.2,2002,thousand metric tons
China,12000,2002,thousand metric tons
Ghana,683.654,2002,thousand metric tons
Greece,2492,2002,thousand metric tons
Guinea,15300,2002,thousand metric tons
Guyana,1690,2002,thousand metric tons
Hungary,720,2002,thousand metric tons
India,9647,2002,thousand metric tons
Indonesia,1283,2002,thousand metric tons
Iran,57.254,2002,thousand metric tons
Jamaica,13119.5,2002,thousand metric tons
Kazakhstan,4376.6,2002,thousand metric tons
Malaysia,39.975,2002,thousand metric tons
Mozambique,9.119,2002,thousand metric tons
Pakistan,12.233,2002,thousand metric tons
Russian Federation,4500,2002,thousand metric tons
Serbia and Montenegro,612,2002,thousand metric tons
Suriname,4002,2002,thousand metric tons
Turkey,287.403,2002,thousand metric tons
USA,NA,2002,thousand metric tons
Venezuela,5190.806,2002,thousand metric tons
Australia,53799,2001,thousand metric tons
Bosnia Herzegovina,75,2001,thousand metric tons
Brazil,13032,2001,thousand metric tons
China,9800,2001,thousand metric tons
Ghana,678.449,2001,thousand metric tons
Greece,2052,2001,thousand metric tons
Guinea,15100,2001,thousand metric tons
Guyana,1950,2001,thousand metric tons
Hungary,1000,2001,thousand metric tons
India,7864,2001,thousand metric tons
Indonesia,1237,2001,thousand metric tons
Iran,274,2001,thousand metric tons
Jamaica,12370.412,2001,thousand metric tons
Kazakhstan,3685.1,2001,thousand metric tons
Malaysia,64.161,2001,thousand metric tons
Mozambique,8.592,2001,thousand metric tons
Pakistan,9,2001,thousand metric tons
Russian Federation,4000,2001,thousand metric tons
Serbia and Montenegro,610,2001,thousand metric tons
Suriname,4394,2001,thousand metric tons
Turkey,242.04,2001,thousand metric tons
USA,NA,2001,thousand metric tons
Venezuela,4585,2001,thousand metric tons
Australia,53802.3,2000,thousand metric tons
Bosnia Herzegovina,75,2000,thousand metric tons
Brazil,13866,2000,thousand metric tons
China,9000,2000,thousand metric tons
Ghana,503.825,2000,thousand metric tons
Greece,1990.5,2000,thousand metric tons
Guinea,15700,2000,thousand metric tons
Guyana,2471.34,2000,thousand metric tons
Hungary,1046.5,2000,thousand metric tons
India,7562,2000,thousand metric tons
Indonesia,1151,2000,thousand metric tons
Iran,400,2000,thousand metric tons
Jamaica,11126.5,2000,thousand metric tons
Kazakhstan,3729.6,2000,thousand metric tons
Malaysia,123.27,2000,thousand metric tons
Mozambique,8.13,2000,thousand metric tons
Pakistan,8.688,2000,thousand metric tons
Russian Federation,4200,2000,thousand metric tons
Serbia and Montenegro,630,2000,thousand metric tons
Suriname,3610.3,2000,thousand metric tons
Turkey,458.537,2000,thousand metric tons
USA,NA,2000,thousand metric tons
Venezuela,4360.72,2000,thousand metric tons
Australia,48416,1999,thousand metric tons
Bosnia Herzegovina,75,1999,thousand metric tons
Brazil,14372,1999,thousand metric tons
China,8500,1999,thousand metric tons
Ghana,355,1999,thousand metric tons
Greece,1883,1999,thousand metric tons
Guinea,15590,1999,thousand metric tons
Guyana,2359,1999,thousand metric tons
Hungary,935,1999,thousand metric tons
India,6712,1999,thousand metric tons
Indonesia,1116,1999,thousand metric tons
Iran,912,1999,thousand metric tons
Jamaica,11688,1999,thousand metric tons
Kazakhstan,3607,1999,thousand metric tons
Malaysia,224,1999,thousand metric tons
Mozambique,8,1999,thousand metric tons
Pakistan,11,1999,thousand metric tons
Russian Federation,3750,1999,thousand metric tons
Serbia and Montenegro,500,1999,thousand metric tons
Suriname,3715,1999,thousand metric tons
Turkey,208,1999,thousand metric tons
USA,NA,1999,thousand metric tons
Venezuela,4166,1999,thousand metric tons
Australia,44553,1998,thousand metric tons
Bosnia Herzegovina,75,1998,thousand metric tons
Brazil,11961,1998,thousand metric tons
China,8200,1998,thousand metric tons
Ghana,341,1998,thousand metric tons
Greece,1823,1998,thousand metric tons
Guinea,15570,1998,thousand metric tons
Guyana,2267,1998,thousand metric tons
Hungary,1138,1998,thousand metric tons
India,6102,1998,thousand metric tons
Indonesia,1056,1998,thousand metric tons
Iran,336,1998,thousand metric tons
Jamaica,12646,1998,thousand metric tons
Kazakhstan,3437,1998,thousand metric tons
Malaysia,160,1998,thousand metric tons
Mozambique,6,1998,thousand metric tons
Pakistan,5,1998,thousand metric tons
Romania,162,1998,thousand metric tons
Russian Federation,3450,1998,thousand metric tons
Serbia and Montenegro,226,1998,thousand metric tons
Suriname,3931,1998,thousand metric tons
Turkey,458,1998,thousand metric tons
USA,NA,1998,thousand metric tons
Venezuela,4826,1998,thousand metric tons
