Country,Ecoinvent_name,Domestic_production,Apparent_consumption,Domestic_production_ratio,Mineral,Year
Argentina,AR,78079445.66929883,78829314.74233891,0.9904874338246996,aluminium,2000
Australia,AU,368215636.095169,369475117.84055513,0.9965911595001381,aluminium,2000
Bahrain,BH,316512488.310378,317067919.60116243,0.9982482261482553,aluminium,2000
Bosnia Herzegovina,BA,15367154.507673424,16646525.262729708,0.9231448764913902,aluminium,2000
Brazil,BR,490572041.3584987,491975409.90447605,0.9971474823380911,aluminium,2000
Cameroon,CM,18112727.586703163,18116361.544979367,0.9997994101482695,aluminium,2000
Canada,CA,719657027.3442143,784410212.7471775,0.9174498440348153,aluminium,2000
China,CN,2637569321.9420795,3080320441.5609636,0.8562645906428753,aluminium,2000
Croatia,HR,14384431.451028977,39399462.152670465,0.3650920765184611,aluminium,2000
Egypt,EG,127658515.46361732,128501710.10614614,0.9934382613131583,aluminium,2000
France,FR,363655060.8189144,733453426.1153873,0.49581206913839404,aluminium,2000
Germany,DE,532172717.0008004,1447605247.0503259,0.3676228157401114,aluminium,2000
Ghana,GH,24824131.707190674,24828979.3280951,0.9998047595577583,aluminium,2000
Greece,GR,124156698.60157487,231249253.19681248,0.5368955656514364,aluminium,2000
Hungary,HU,31395409.22795608,129619402.90010807,0.24221226549046157,aluminium,2000
Iceland,IS,15722186.11594237,15815742.312109794,0.9940846155481561,aluminium,2000
India,IN,497286190.7455241,527648363.270575,0.9424575633346912,aluminium,2000
Indonesia,ID,61455806.725793295,103412673.90548736,0.5942773202244052,aluminium,2000
Iran,IR,103962899.43368784,106083858.77412532,0.9800067666754708,aluminium,2000
Italy,IT,181440992.26096705,759410544.9552618,0.23892345644430846,aluminium,2000
Japan,JP,6501646.387025779,2800182007.207555,0.002321865639551574,aluminium,2000
Mexico,MX,59483951.802993946,287812900.4673973,0.2066757664663198,aluminium,2000
Mozambique,MZ,36711419.22589265,36775560.496082745,0.9982558723966443,aluminium,2000
Netherlands,NL,152980866.90141195,598227377.2524124,0.25572361399445637,aluminium,2000
New Zealand,NZ,46586669.06735228,47915459.55595509,0.9722680216173015,aluminium,2000
Norway,NO,76761751.64789008,77487197.86723925,0.990637857100058,aluminium,2000
Poland,PL,32597577.421706423,86574322.96202436,0.3765270845491368,aluminium,2000
Romania,RO,105924357.44788365,106066489.44384576,0.9986599726576474,aluminium,2000
Russian Federation,RU,59183586.82503478,61406550.12604233,0.96379924785801,aluminium,2000
Serbia and Montenegro,ME,6938180.28797317,7014441.551862501,0.9891279635983165,aluminium,2000
Slovakia,SK,28629981.198013537,35578955.79767593,0.8046886300098692,aluminium,2000
Slovenia,SI,40464899.48698188,55635776.76465896,0.7273179568993824,aluminium,2000
South Africa,ZA,168612853.81565586,170547526.19580102,0.9886561099811907,aluminium,2000
Spain,ES,319543910.23148024,504564431.2685041,0.6333064529105399,aluminium,2000
Sweden,SE,76437885.04290162,155028050.10733554,0.493058417428194,aluminium,2000
Switzerland,CH,31931918.136393122,330990185.5919631,0.09647391229828801,aluminium,2000
Tajikistan,TJ,139762265.0,139762265.0,1.0,aluminium,2000
Turkey,TR,56088534.1432705,170371387.6996513,0.32921334327656765,aluminium,2000
United Kingdom,GB,165532419.948528,351432882.1900557,0.4710214335009428,aluminium,2000
USA,US,3474938724.6430526,5768160888.408812,0.6024344313325212,aluminium,2000
Venezuela,VE,198513075.58237216,198645751.86164713,0.9993320960653245,aluminium,2000
Australia,AU,7111724021.4154625,7113849800.825734,0.99970117735547,alumina,2000
Brazil,BR,2623875476.412861,2626755600.2051044,0.9989035432942377,alumina,2000
Canada,CA,1011327901.4638579,4697384417.667122,0.21529596293209427,alumina,2000
China,CN,4302489122.492499,6030658587.687558,0.7134360302333544,alumina,2000
France,FR,152752043.62660587,546821600.5020522,0.27934529924633544,alumina,2000
Germany,DE,526547418.8284648,770492527.2702975,0.6833906886727611,alumina,2000
Greece,GR,417829594.66562104,418207572.92148423,0.9990961946164132,alumina,2000
Guinea,GN,48683768.0,48683768.0,1.0,alumina,2000
Hungary,HU,202286818.63065535,203661301.00781423,0.9932511362229482,alumina,2000
India,IN,2029166604.2219615,2034853363.369455,0.9972053223834876,alumina,2000
Italy,IT,457965087.0799354,564443437.0047004,0.8113569173736741,alumina,2000
Japan,JP,257231911.95942286,287276337.2150875,0.89541628960143,alumina,2000
Kazakhstan,KZ,222388159.1424165,222410471.48537114,0.9998996794404256,alumina,2000
Romania,RO,282886449.7187162,374847925.8352857,0.7546699080389766,alumina,2000
Russian Federation,RU,2843437581.6823545,6212228216.117389,0.45771621433758086,alumina,2000
Serbia and Montenegro,ME,185999950.83762798,187641386.90043184,0.9912522706748332,alumina,2000
Slovakia,SK,109896416.77987608,321073944.80224067,0.34227759230841565,alumina,2000
Slovenia,SI,68330071.23664539,223147865.43684256,0.3062098358094526,alumina,2000
Spain,ES,938025266.771902,982695350.4288244,0.9545433041507426,alumina,2000
Suriname,SR,567592551.683944,567605472.3997196,0.9999772364496047,alumina,2000
Turkey,TR,138411706.62842888,144275476.56791592,0.9593571265264423,alumina,2000
Ukraine,UA,305806631.32179517,309578888.8713701,0.987814874705031,alumina,2000
United Kingdom,GB,76958964.2363021,719620750.9912856,0.10694378133244527,alumina,2000
USA,US,3892873961.4828095,5678762133.953401,0.6855145310995261,alumina,2000
Venezuela,VE,1270515742.7518501,1276393748.0392447,0.9953948338461982,alumina,2000
Argentina,AR,69494852.5036317,70193921.1317227,0.9900408950401963,aluminium,2001
Australia,AU,312258362.82030123,313696659.8188298,0.9954150069708769,aluminium,2001
Bahrain,BH,313806984.9891367,314008987.76137364,0.9993566974828426,aluminium,2001
Bosnia Herzegovina,BA,5255601.7371049635,5367413.136370809,0.9791684753110981,aluminium,2001
Brazil,BR,538470368.36838,542504976.8536633,0.9925630018941344,aluminium,2001
Cameroon,CM,24176307.3529356,24177313.931272797,0.9999583668251958,aluminium,2001
Canada,CA,664777282.3977221,696149161.2345694,0.9549351193913506,aluminium,2001
China,CN,2882441797.0289845,3104172381.38328,0.9285701445950344,aluminium,2001
Croatia,HR,14212025.603053791,47873683.691693254,0.29686509387034643,aluminium,2001
Egypt,EG,124887609.96339919,126163361.83837731,0.9898880954312834,aluminium,2001
France,FR,385022035.2609524,744912257.2261373,0.5168689755417316,aluminium,2001
Germany,DE,543813884.8732754,1649389532.342199,0.32970615746605225,aluminium,2001
Ghana,GH,20931556.623419046,20933052.955966868,0.99992851818839,aluminium,2001
Greece,GR,118581549.96661489,178747770.7095999,0.6634015601753532,aluminium,2001
Hungary,HU,32422225.66576932,191818072.75263494,0.16902591711251538,aluminium,2001
India,IN,520101677.691636,565148423.253156,0.9202921857196062,aluminium,2001
Indonesia,ID,84483893.6634483,131748201.28967339,0.6412527293461445,aluminium,2001
Iran,IR,122355480.38249056,131731523.90841058,0.9288246028912645,aluminium,2001
Italy,IT,171636464.47448304,799368776.6964593,0.21471499698024582,aluminium,2001
Japan,JP,6554226.963433884,2468855902.333213,0.0026547628629276245,aluminium,2001
Mexico,MX,50003426.329909675,249237709.494766,0.2006254448063757,aluminium,2001
Netherlands,NL,143275666.60184437,557790166.4346893,0.2568630198657693,aluminium,2001
New Zealand,NZ,32415052.06655445,32784115.019043505,0.9887426287921857,aluminium,2001
Norway,NO,216221528.366092,231372652.58585307,0.9345163568363417,aluminium,2001
Poland,PL,35932792.40883222,115508306.91877162,0.31108405418928936,aluminium,2001
Romania,RO,108676790.7982567,108928617.41429596,0.9976881500746358,aluminium,2001
Russian Federation,RU,716517615.4206967,728008231.9549218,0.9842163645548769,aluminium,2001
Serbia and Montenegro,ME,41192658.60186895,42603786.31097542,0.9668778803178125,aluminium,2001
Slovakia,SK,31901079.58580184,42749206.29202936,0.746237938732206,aluminium,2001
Slovenia,SI,46228816.292954385,107975211.4155494,0.42814286433799953,aluminium,2001
South Africa,ZA,203831947.24571025,205552063.6426361,0.9916317240194856,aluminium,2001
Spain,ES,336951390.102615,551101175.3038365,0.6114147550435632,aluminium,2001
Sweden,SE,71760613.9980252,136887928.90970203,0.5242289409270119,aluminium,2001
Switzerland,CH,33137192.62443985,146960704.86910313,0.2254833538935113,aluminium,2001
Tajikistan,TJ,184635368.0,184635368.0,1.0,aluminium,2001
Turkey,TR,58601614.72013472,178774449.1450705,0.3277963657579565,aluminium,2001
United Arab Emirates,AE,2377269.2690036106,2477065.7318791416,0.9597118229075723,aluminium,2001
United Kingdom,GB,223648696.8561875,483165631.954105,0.46288204720122034,aluminium,2001
USA,US,2521162111.714919,4913955229.804891,0.513061677164491,aluminium,2001
Venezuela,VE,170523491.064754,170643548.7114314,0.9992964419247959,aluminium,2001
Australia,AU,7222095562.713463,7225013086.752463,0.9995961911758541,alumina,2001
Azerbaijan,AZ,14684119.999999998,14684119.999999998,1.0,alumina,2001
Brazil,BR,2361979655.3779383,2365516336.3709893,0.9985049010490129,alumina,2001
Canada,CA,1027816945.689486,4936500611.73138,0.20820760018684561,alumina,2001
China,CN,4611137471.744022,7971277021.36267,0.5784691034305266,alumina,2001
France,FR,120741881.79244518,648852815.4354279,0.18608516279831275,alumina,2001
Germany,DE,587723176.474417,700575177.8340371,0.838915215768101,alumina,2001
Greece,GR,434344428.5023841,434828469.91933393,0.9988868221599206,alumina,2001
Guinea,GN,13441610.0,13441610.0,1.0,alumina,2001
Hungary,HU,157481407.6084602,158663342.97789887,0.9925506714578469,alumina,2001
India,IN,1876512036.6048963,1886446349.622626,0.9947338481056103,alumina,2001
Jamaica,JM,36247352.24123293,36247480.98903477,0.9999964480896789,alumina,2001
Japan,JP,246279171.38261434,295108348.5687474,0.8345381368471927,alumina,2001
Kazakhstan,KZ,37169961.606639385,37183189.64642866,0.9996442467707838,alumina,2001
Romania,RO,178128798.17011955,209562417.75631204,0.8500035458516955,alumina,2001
Russian Federation,RU,3045600300.048849,6692356803.4275255,0.4550863603818955,alumina,2001
Serbia and Montenegro,ME,201000000.0,209504824.4992472,0.9594051138460644,alumina,2001
Slovakia,SK,107794650.39557098,329268450.39955944,0.32737618883547676,alumina,2001
Slovenia,SI,32723460.82282913,189423243.8054822,0.1727531435182933,alumina,2001
Spain,ES,863344096.5439713,910468184.9145172,0.9482419164652411,alumina,2001
Suriname,SR,563924414.8266284,563930212.5317224,0.9999897191089161,alumina,2001
Turkey,TR,109134628.61058637,113989407.85548326,0.9574102599861575,alumina,2001
Ukraine,UA,272786101.7166436,274156951.0876395,0.9949997643118021,alumina,2001
United Kingdom,GB,80710722.8702201,347308371.4147268,0.23238922385156693,alumina,2001
USA,US,3362662644.3345065,4405326069.859524,0.763317536774692,alumina,2001
Venezuela,VE,1220290718.8606577,1224748212.928859,0.9963604812637026,alumina,2001
Argentina,AR,49461819.55005093,49566578.527945094,0.9978864997140139,aluminium,2002
Australia,AU,313038717.6778656,313802800.8333135,0.997565084972413,aluminium,2002
Bahrain,BH,305407573.623385,305496847.430959,0.9997077750283687,aluminium,2002
Bosnia Herzegovina,BA,9239519.83890438,9404093.948472587,0.9824997378301461,aluminium,2002
Brazil,BR,533136382.61062205,536687097.787692,0.9933840124129935,aluminium,2002
Cameroon,CM,27274715.583637476,27284732.65552782,0.9996328689741325,aluminium,2002
Canada,CA,731728221.0959275,769789756.5632566,0.9505559340809422,aluminium,2002
China,CN,3589622108.492949,3730078902.197434,0.9623448196707742,aluminium,2002
Egypt,EG,114139757.02021453,114585943.44715583,0.9961060980647501,aluminium,2002
France,FR,368630834.0042167,687675286.1954318,0.5360536308403189,aluminium,2002
Germany,DE,547024976.1642652,1829945777.6715076,0.2989296091932956,aluminium,2002
Ghana,GH,17579994.418630295,17581885.104271635,0.9998924639974538,aluminium,2002
Greece,GR,133617655.48293208,263673389.41681015,0.506754419846713,aluminium,2002
Hungary,HU,32796249.193224143,155409362.29737082,0.21103136071345285,aluminium,2002
Iceland,IS,3847897.2079916676,3859611.742174724,0.9969648412934778,aluminium,2002
India,IN,532361321.46208596,579691549.1867344,0.918352738122456,aluminium,2002
Indonesia,ID,76339945.04087839,131282601.90213454,0.5814932362308487,aluminium,2002
Iran,IR,126730425.00991376,139230413.08458504,0.9102208504755545,aluminium,2002
Italy,IT,176565559.80705908,827637049.8152757,0.21333694503703962,aluminium,2002
Japan,JP,6371327.62835697,2509618715.197471,0.0025387631952910575,aluminium,2002
Mexico,MX,38306353.71975269,299661092.84924597,0.12783225661872602,aluminium,2002
Netherlands,NL,178655134.4955309,875206506.8862164,0.20412912048739768,aluminium,2002
New Zealand,NZ,89231520.91603476,92060283.40772209,0.9692727158012415,aluminium,2002
Norway,NO,166422071.35857502,183287705.06008586,0.9079827329608284,aluminium,2002
Poland,PL,33307609.578732155,81696135.10904245,0.40770116645390164,aluminium,2002
Romania,RO,99461543.67769045,99964774.30488372,0.994965920438549,aluminium,2002
Russian Federation,RU,522297584.9548194,524890698.3984596,0.9950597077609638,aluminium,2002
Serbia and Montenegro,ME,38738688.03975634,41447448.714736834,0.9346459007978125,aluminium,2002
Slovakia,SK,47387201.72221656,68965313.23905209,0.687116457485808,aluminium,2002
Slovenia,SI,32977985.25355638,45849327.33017182,0.7192686823096471,aluminium,2002
South Africa,ZA,187301226.62912554,189228864.82132804,0.9898131915866927,aluminium,2002
Spain,ES,343550906.3607139,552708371.1715461,0.6215771721215432,aluminium,2002
Sweden,SE,66018282.7152014,128381879.9458212,0.514233649975074,aluminium,2002
Switzerland,CH,38586279.684856854,197767869.30284137,0.19510894171474233,aluminium,2002
Tajikistan,TJ,134801619.0,134801619.0,1.0,aluminium,2002
Turkey,TR,61781334.15906736,319427109.702082,0.19341293297456363,aluminium,2002
United Arab Emirates,AE,96803129.60522817,104138222.91867666,0.9295638709028423,aluminium,2002
United Kingdom,GB,205189772.65837267,352960813.1713161,0.5813386784067159,aluminium,2002
USA,US,2605982302.6946063,5266854023.125432,0.4947891646991531,aluminium,2002
Venezuela,VE,129291736.88865784,129341341.16973963,0.9996164854899974,aluminium,2002
Australia,AU,6596489009.426026,6599002039.949251,0.9996191802172493,alumina,2002
Bosnia Herzegovina,BA,41314042.66438513,41525313.84133322,0.994912231662948,alumina,2002
Brazil,BR,2837899112.1667724,2840702003.4413958,0.9990133103467989,alumina,2002
Canada,CA,1116123744.0906382,5267846065.354681,0.2118747834017223,alumina,2002
China,CN,5134292756.05958,9469364928.951954,0.542200326482489,alumina,2002
France,FR,120224069.73280844,663211072.4971848,0.18127572762036293,alumina,2002
Germany,DE,565580781.410948,675672956.4345622,0.837062925228566,alumina,2002
Greece,GR,445190218.74725604,445428757.6057998,0.9994644736010627,alumina,2002
Guinea,GN,168170660.0,168170660.0,1.0,alumina,2002
Hungary,HU,174925164.35957894,176034009.04347783,0.9937009632972398,alumina,2002
India,IN,1533558311.8371363,1544832181.2368598,0.9927022044616541,alumina,2002
Iran,IR,101000000.0,392733552.80236816,0.2571718135089551,alumina,2002
Italy,IT,576353244.2790735,643490886.6856271,0.8956665217865731,alumina,2002
Japan,JP,227951402.07998934,251006342.3443342,0.9081499692437344,alumina,2002
Kazakhstan,KZ,15517496.660320051,15523111.137595346,0.9996383149469504,alumina,2002
Romania,RO,352019426.39970887,402216826.7722637,0.875198159223267,alumina,2002
Russian Federation,RU,3130531244.939743,6511274077.8082485,0.4807862804622574,alumina,2002
Serbia and Montenegro,ME,236949075.97636566,244061020.67782438,0.9708599731259547,alumina,2002
Slovakia,SK,111986436.12979317,332462333.52189046,0.336839469733252,alumina,2002
Slovenia,SI,28883619.18235954,259024140.8682095,0.11150937161897745,alumina,2002
Spain,ES,1177309837.2962928,1223235822.904156,0.9624553297508671,alumina,2002
Suriname,SR,661041664.012944,661049826.4908289,0.9999876522501666,alumina,2002
Turkey,TR,148808081.51880622,155535314.27025795,0.9567478756640276,alumina,2002
Ukraine,UA,261962260.0482789,264948507.35293454,0.9887289521481331,alumina,2002
United Kingdom,GB,70622081.6613277,618544582.567453,0.1141746022060201,alumina,2002
USA,US,3248511639.8927016,4005776084.6574297,0.8109568710879433,alumina,2002
Venezuela,VE,1302214946.6276078,1304433185.4661257,0.9982994615107671,alumina,2002
Argentina,AR,72114060.76298329,72487308.0434933,0.9948508602321656,aluminium,2003
Australia,AU,331694455.9667487,332852534.6396601,0.9965207455182364,aluminium,2003
Azerbaijan,AZ,865992.1657544583,907265.6780620682,0.9545077993077279,aluminium,2003
Bahrain,BH,329728671.5369148,334797319.98280793,0.9848605465355774,aluminium,2003
Bosnia Herzegovina,BA,40258273.06339949,40629462.12997373,0.990864041827903,aluminium,2003
Brazil,BR,494347985.75996655,496732505.66279906,0.9951995895665197,aluminium,2003
Cameroon,CM,25986789.263588667,25993465.859720774,0.9997431432896199,aluminium,2003
Canada,CA,672527471.4058335,695218217.3184426,0.9673616925630479,aluminium,2003
China,CN,4431130676.596063,4719753647.437094,0.9388478737660898,aluminium,2003
Egypt,EG,145244099.6380275,146824933.8489112,0.9892332033160631,aluminium,2003
France,FR,365056325.6885439,723235411.080231,0.5047544963863045,aluminium,2003
Germany,DE,559230861.6273904,1968766548.1897242,0.28405138341140634,aluminium,2003
Ghana,GH,15178225.951459713,25945912.391188186,0.5849948817608195,aluminium,2003
Greece,GR,128400641.53960373,222217903.96149328,0.5778141151122254,aluminium,2003
Hungary,HU,31868380.766398042,237950235.19266108,0.13392876346852603,aluminium,2003
Iceland,IS,766238.5914477921,768240.7368042553,0.9973938568204652,aluminium,2003
India,IN,673145375.3705075,731454439.586219,0.9202833955745806,aluminium,2003
Indonesia,ID,134673408.10736102,237865846.4174758,0.5661737913857425,aluminium,2003
Iran,IR,134414912.95626795,162123727.79565802,0.8290884670853703,aluminium,2003
Italy,IT,185494513.3195728,942506681.3867956,0.1968097595304448,aluminium,2003
Japan,JP,6410023.878045604,2828867383.69819,0.0022659329719676544,aluminium,2003
Montenegro,ME,116744000.0,116744000.0,1.0,aluminium,2003
Netherlands,NL,79906935.3322915,269605253.1280924,0.2963849346597369,aluminium,2003
New Zealand,NZ,61184092.6101451,64290124.833804876,0.9516872578535333,aluminium,2003
Norway,NO,131801930.35686788,146787637.49175835,0.8979089289060064,aluminium,2003
Poland,PL,33695001.47354958,147011033.02745923,0.22920049454557545,aluminium,2003
Romania,RO,105756602.28663597,121662328.37967065,0.8692633430177514,aluminium,2003
Russian Federation,RU,283734351.3242751,285664042.8210358,0.99324489187472,aluminium,2003
Slovakia,SK,33322672.252355143,42054584.164248586,0.7923671798111225,aluminium,2003
Slovenia,SI,56896745.58627125,107524013.9678087,0.5291538465379967,aluminium,2003
South Africa,ZA,120535788.26573306,121794259.06652583,0.9896672403901619,aluminium,2003
Spain,ES,346793924.8039892,596419003.5004191,0.5814602196922545,aluminium,2003
Sweden,SE,73983473.28889912,148168558.1974579,0.4993196545133719,aluminium,2003
Switzerland,CH,37453290.91412021,185069458.89572626,0.20237423904298835,aluminium,2003
Tajikistan,TJ,120047811.0,120047811.0,1.0,aluminium,2003
Turkey,TR,62052602.61921087,317660311.7953267,0.19534263587574732,aluminium,2003
United Arab Emirates,AE,150302507.11447868,168295324.9452196,0.8930878333275293,aluminium,2003
United Kingdom,GB,219638478.81150132,474312005.78599155,0.46306750858548096,aluminium,2003
USA,US,2623113120.649406,5326763826.662769,0.4924402894529666,aluminium,2003
Venezuela,VE,206810568.1696737,206883527.6131112,0.9996473404901819,aluminium,2003
Australia,AU,6563668404.168408,6565061322.536414,0.9997878285823129,alumina,2003
Azerbaijan,AZ,179938500.0,179938500.0,1.0,alumina,2003
Bosnia Herzegovina,BA,34990628.02278086,59693194.987400316,0.5861744882338175,alumina,2003
Brazil,BR,3247544966.6191206,3250540595.3542967,0.9990784213741377,alumina,2003
Canada,CA,1068509746.5910702,5154634102.518563,0.2072910948361969,alumina,2003
China,CN,6071334845.547628,11799035273.989147,0.5145619709207773,alumina,2003
France,FR,248474356.15398556,899431731.154086,0.2762570493651154,alumina,2003
Germany,DE,725827181.3363662,1465015813.7946374,0.49543982699842104,alumina,2003
Greece,GR,385632239.23297656,385832826.2449405,0.9994801193721226,alumina,2003
Guinea,GN,66523880.00000001,66523880.00000001,1.0,alumina,2003
Hungary,HU,181481763.07777706,192702895.4689187,0.9417697779587774,alumina,2003
India,IN,1474398461.1339233,1479881183.464602,0.9962951604548124,alumina,2003
Iran,IR,99391381.7436926,193553482.19275266,0.5135086210679095,alumina,2003
Italy,IT,452064840.9634264,508468230.58903587,0.8890719493718047,alumina,2003
Japan,JP,221940420.23619425,243620938.63707426,0.9110071633326321,alumina,2003
Kazakhstan,KZ,27502923.689812463,27509072.896270495,0.9997764662414753,alumina,2003
Montenegro,ME,239739000.0,239739000.0,1.0,alumina,2003
Romania,RO,231266548.06535432,331779545.2037471,0.6970488428493463,alumina,2003
Russian Federation,RU,3209820408.015225,6932340115.75569,0.4630211955007814,alumina,2003
Slovakia,SK,131834648.28925171,384204083.45401293,0.34313703046581906,alumina,2003
Slovenia,SI,29305109.411389705,274952429.2216074,0.10658247135460018,alumina,2003
Spain,ES,1057986634.49583,1094257742.586844,0.9668532314834086,alumina,2003
Suriname,SR,664991667.0995492,665003384.8211194,0.9999823794557475,alumina,2003
Turkey,TR,147634880.36821306,152661023.89434782,0.9670764455922083,alumina,2003
Ukraine,UA,265054439.76339364,265081082.39971548,0.9998994925021406,alumina,2003
United Kingdom,GB,7972831.612852421,822566047.8168051,0.009692633964182365,alumina,2003
USA,US,3858532785.0977325,4741957322.369411,0.8137004453616089,alumina,2003
Venezuela,VE,1272923177.8916278,1273788407.4876578,0.9993207430755815,alumina,2003
Argentina,AR,112924769.09491494,113883109.1920157,0.9915848794092466,aluminium,2004
Australia,AU,358724715.2442132,360083718.7975704,0.9962258678123651,aluminium,2004
Azerbaijan,AZ,10447533.098820506,10455490.15965421,0.9992389586033558,aluminium,2004
Bahrain,BH,331302278.48275733,338478940.73174137,0.9787973153264155,aluminium,2004
Bosnia Herzegovina,BA,3228696.6961939535,3311539.5541552044,0.9749835819242133,aluminium,2004
Brazil,BR,667752690.9975506,672259463.5772814,0.9932960816114823,aluminium,2004
Cameroon,CM,12618873.067650793,12619220.616403224,0.9999724587783195,aluminium,2004
Canada,CA,718842713.3157971,751525432.9152759,0.9565114922688673,aluminium,2004
China,CN,5137400754.310863,5316566695.246145,0.9663004432737606,aluminium,2004
Egypt,EG,149609303.11085656,152017008.12298426,0.9841616076920826,aluminium,2004
France,FR,379423163.94358844,752631876.7742301,0.5041284798749036,aluminium,2004
Germany,DE,557065277.3643677,1779891363.7032905,0.3129771224943316,aluminium,2004
Greece,GR,119055516.66299735,156165869.6545873,0.7623657904657924,aluminium,2004
Hungary,HU,29378293.60499116,127227446.1262643,0.23091160358461701,aluminium,2004
