Country,Ecoinvent_name,Domestic_production,Apparent_consumption,Domestic_production_ratio,Mineral,Year
India,IN,753886786.9828577,803740089.6422926,0.937973353199761,aluminium,2004
Indonesia,ID,144679046.02256,251425365.37059736,0.5754353615408102,aluminium,2004
Iran,IR,146655561.36099258,180515359.67896634,0.812427051203892,aluminium,2004
Italy,IT,181937747.9114459,876054242.0988157,0.20767863354621366,aluminium,2004
Japan,JP,6357222.237516591,2998431937.855336,0.0021201822716922065,aluminium,2004
Montenegro,ME,115080000.0,115080000.0,1.0,aluminium,2004
Netherlands,NL,108637444.5797757,313077279.4332876,0.34699881376388675,aluminium,2004
New Zealand,NZ,56465759.127762064,59950803.812810004,0.9418682575811724,aluminium,2004
Norway,NO,127736622.15542696,139540570.1517932,0.9154084866965512,aluminium,2004
Poland,PL,28852766.983643044,106023960.52259088,0.2721344009545398,aluminium,2004
Romania,RO,155487177.53289533,184668806.1433741,0.8419785711517376,aluminium,2004
Russian Federation,RU,151318562.40201074,152470721.62435272,0.9924434067730027,aluminium,2004
Slovakia,SK,20765553.8624083,24202399.893415723,0.8579956514170969,aluminium,2004
Slovenia,SI,66620319.402265385,105159418.22607665,0.6335173827135664,aluminium,2004
South Africa,ZA,258579667.13973588,259182286.75868154,0.9976749197389915,aluminium,2004
Spain,ES,345821575.9240638,638113884.140062,0.5419433497989179,aluminium,2004
Sweden,SE,72522096.8954416,165169689.8781788,0.4390763035816705,aluminium,2004
Switzerland,CH,23833912.380557816,88575195.59786518,0.26908111486159964,aluminium,2004
Tajikistan,TJ,188631535.0,188631535.0,1.0,aluminium,2004
Turkey,TR,58587604.304038934,353447309.9571083,0.16576050419268626,aluminium,2004
United Arab Emirates,AE,186189713.63694704,212622776.41648516,0.8756809443229117,aluminium,2004
United Kingdom,GB,171394218.1096393,289313433.5546487,0.5924170751554972,aluminium,2004
USA,US,2404132520.3008375,5452058489.704132,0.4409586809901049,aluminium,2004
Venezuela,VE,228097137.39449278,228182404.88443685,0.9996263187339652,aluminium,2004
Australia,AU,7672203976.474477,7675097904.539788,0.9996229457785027,alumina,2004
Azerbaijan,AZ,211469942.3476874,211472211.3223681,0.9999892705776021,alumina,2004
Brazil,BR,3354978362.1903353,3359472671.2798343,0.9986621980503306,alumina,2004
Canada,CA,1155795612.1208148,4918195747.698679,0.23500398752156915,alumina,2004
China,CN,6940894908.422699,12697872068.443819,0.5466187461182491,alumina,2004
France,FR,230082297.5488706,743221455.4886327,0.3095743480623853,alumina,2004
Germany,DE,1087500949.9427087,2051506479.619852,0.5300987156249317,alumina,2004
Greece,GR,398384728.53886425,398525982.70485777,0.9996455584525887,alumina,2004
Guinea,GN,120573039.0,120573039.0,1.0,alumina,2004
Hungary,HU,126794577.55973557,130174358.8457276,0.9740365052229873,alumina,2004
India,IN,1618902865.828833,1638059382.9870172,0.9883053585497908,alumina,2004
Iran,IR,134397892.59481025,404931370.9944849,0.3319028907657558,alumina,2004
Ireland,IE,278010078.5577503,278092762.7522325,0.9997026740514068,alumina,2004
Italy,IT,697763465.4195236,790071211.7327391,0.8831652831511587,alumina,2004
Japan,JP,242783244.5162439,272652849.4143244,0.8904482202836232,alumina,2004
Kazakhstan,KZ,2255631.2986296276,2256481.2247330607,0.9996233400508202,alumina,2004
Montenegro,ME,245005000.0,245005000.0,1.0,alumina,2004
Romania,RO,419166800.1622626,529781491.312115,0.7912069542560048,alumina,2004
Russian Federation,RU,3239750616.1177087,7285994154.967388,0.4446545724867123,alumina,2004
Slovakia,SK,156967995.1804756,436997521.67228526,0.3591965340668215,alumina,2004
Slovenia,SI,28664323.29066058,279946524.5540652,0.10239213841400886,alumina,2004
Spain,ES,1005760278.0301853,1044779762.178347,0.9626529096746603,alumina,2004
Suriname,SR,100505426.90574907,100505878.69876088,0.99999550481009,alumina,2004
Turkey,TR,168399077.84953308,175674776.1165152,0.9585842747159299,alumina,2004
Ukraine,UA,273397289.9695844,273435066.05817187,0.999861846217707,alumina,2004
United Kingdom,GB,7859551.673874699,180351933.41705304,0.043578970987241686,alumina,2004
USA,US,4464153226.229477,4947035815.71167,0.9023895101085444,alumina,2004
Venezuela,VE,1291389315.9865186,1294603843.0983799,0.9975169800947231,alumina,2004
Argentina,AR,102508020.51443706,102893651.56396535,0.9962521395278837,aluminium,2005
Australia,AU,323561599.9278884,325220001.3234897,0.994900678344344,aluminium,2005
Azerbaijan,AZ,14142980.920261458,14143671.94644623,0.9999511423774965,aluminium,2005
Bahrain,BH,493533621.5586595,498765295.69127077,0.9895107494891754,aluminium,2005
Bosnia Herzegovina,BA,11956199.491944712,12308287.384662189,0.9713942418052225,aluminium,2005
Brazil,BR,714455686.4465561,720535605.4359238,0.9915619451093061,aluminium,2005
Cameroon,CM,25380193.6069623,25380193.6069623,1.0,aluminium,2005
Canada,CA,781677799.455226,811208359.3632065,0.9635968249499279,aluminium,2005
China,CN,6540581116.156116,6732527391.221461,0.9714897149448476,aluminium,2005
Egypt,EG,158667117.81112516,161088720.71082222,0.984967272140399,aluminium,2005
France,FR,358997974.59831554,688149346.4050052,0.5216861375714072,aluminium,2005
Germany,DE,534534655.3487019,1723036422.743488,0.3102282971462636,aluminium,2005
Ghana,GH,13392572.718092084,30780588.016816594,0.4350980140722204,aluminium,2005
Greece,GR,111793966.57063554,144597806.45184767,0.773137361581373,aluminium,2005
Hungary,HU,27185887.352422312,125012339.78733534,0.21746563098226596,aluminium,2005
India,IN,819050357.758449,896765161.9944406,0.9133387340079638,aluminium,2005
Indonesia,ID,157181293.77277446,270570873.1385171,0.5809246647635515,aluminium,2005
Iran,IR,125414016.53441331,166519707.5708668,0.7531481910694571,aluminium,2005
Italy,IT,177218173.19873676,837107700.5570757,0.21170295420864266,aluminium,2005
Japan,JP,6429859.605393998,2824299305.310751,0.0022766211758447237,aluminium,2005
Montenegro,ME,116995000.0,116995000.0,1.0,aluminium,2005
Netherlands,NL,137886683.11288312,426945630.2624795,0.3229607550453498,aluminium,2005
New Zealand,NZ,45635297.2164133,48066378.60582045,0.9494224141713733,aluminium,2005
Norway,NO,485122628.41123456,539441557.6084788,0.8993052566471559,aluminium,2005
Poland,PL,38486505.71393448,181499456.02463564,0.21204749896721758,aluminium,2005
Romania,RO,193616907.59874994,195921114.18702754,0.9882391104305481,aluminium,2005
Slovakia,SK,19351200.14820766,22611260.0863212,0.8558213949303193,aluminium,2005
Slovenia,SI,89999425.78685825,146342870.58910435,0.6149901626540799,aluminium,2005
South Africa,ZA,199791018.37934142,201172099.68176806,0.9931348268243392,aluminium,2005
Spain,ES,341388399.94258344,589866609.4692808,0.5787552549376205,aluminium,2005
Sweden,SE,78514735.44745721,178413639.98996663,0.44007137263649015,aluminium,2005
Switzerland,CH,28105067.849782262,124351063.70945817,0.22601389173034137,aluminium,2005
Tajikistan,TJ,126756380.17981416,126756831.61833182,0.9999964385468467,aluminium,2005
Turkey,TR,58018953.98745405,366307276.8790467,0.15838875624251303,aluminium,2005
United Arab Emirates,AE,277399713.1964408,326225284.9875954,0.8503317368762169,aluminium,2005
United Kingdom,GB,152870000.82485116,260870712.24509582,0.5859990932260162,aluminium,2005
USA,US,2353421457.3417645,5691524896.496786,0.4134957678548202,aluminium,2005
Venezuela,VE,203048653.12986058,203141334.94171986,0.9995437570010758,aluminium,2005
Australia,AU,6383680589.348974,6392747013.30193,0.9985817640000314,alumina,2005
Brazil,BR,2988431748.6828184,3008206098.202653,0.9934265310040926,alumina,2005
Canada,CA,1144617392.8524876,5266917055.757766,0.21732208438733583,alumina,2005
China,CN,8568710034.8995905,15213678301.691944,0.5632240846019891,alumina,2005
France,FR,482742588.83357155,1038026785.8484083,0.4650579305032216,alumina,2005
Germany,DE,1124762948.1840582,1950100073.0325186,0.5767719122408865,alumina,2005
Greece,GR,306233731.44069475,306368118.2067291,0.9995613552519075,alumina,2005
Hungary,HU,166005703.11570483,173580552.34020713,0.9563611872276103,alumina,2005
India,IN,1676807987.1340015,1748833261.829541,0.9588152419858539,alumina,2005
Iran,IR,184826059.62677205,398355383.12522256,0.46397279277803105,alumina,2005
Ireland,IE,336776365.38626564,336863609.15428,0.9997410115974432,alumina,2005
Italy,IT,488896648.3451919,597620478.6466268,0.8180721140151501,alumina,2005
Japan,JP,220696654.6000543,256971851.03229937,0.8588359141807888,alumina,2005
Kazakhstan,KZ,15969341.96325238,15971741.942873469,0.9998497358879406,alumina,2005
Montenegro,ME,235196000.0,235196000.0,1.0,alumina,2005
Romania,RO,451712930.0071455,464814379.6321545,0.9718135879630547,alumina,2005
Russian Federation,RU,3242404698.0066967,7421097276.089838,0.4369171535392019,alumina,2005
Spain,ES,429537184.4031772,453484605.3885179,0.9471924279219489,alumina,2005
Suriname,SR,389648060.61761326,389655199.0454576,0.9999816801421826,alumina,2005
Turkey,TR,96954561.67026387,106123156.35041463,0.9136042029330864,alumina,2005
Ukraine,UA,301138731.61999387,301222150.6798227,0.9997230646562992,alumina,2005
USA,US,3980548880.939951,4923922049.887028,0.8084102145831652,alumina,2005
Venezuela,VE,1265943381.5842571,1267586369.8186715,0.9987038451394445,alumina,2005
Argentina,AR,140313345.02221474,142363697.20621923,0.985597787748976,aluminium,2006
Australia,AU,314588446.4135304,315402003.2211305,0.9974205718438963,aluminium,2006
Azerbaijan,AZ,24203131.903988536,24250249.59601712,0.9980570223889027,aluminium,2006
Bahrain,BH,592566494.3209051,592878408.6758696,0.9994738982725629,aluminium,2006
Bosnia Herzegovina,BA,2785667.6528682904,2804482.8418243187,0.9932910308184346,aluminium,2006
Brazil,BR,784917019.0562928,788112600.3072898,0.9959452732391906,aluminium,2006
Cameroon,CM,773542.531693631,773583.7637802843,0.99994669990687,aluminium,2006
Canada,CA,821846365.6762658,852872004.2822777,0.9636221631731,aluminium,2006
China,CN,8035053722.037766,8179033436.96781,0.9823964877953328,aluminium,2006
Egypt,EG,163954212.75511324,166360970.1481053,0.9855329204268922,aluminium,2006
France,FR,344712936.65202,704163869.0482035,0.48953510937440997,aluminium,2006
Germany,DE,426057506.5463787,1801703820.393841,0.23647477555619836,aluminium,2006
Greece,GR,124318096.10789077,263042318.22025487,0.47261633393830843,aluminium,2006
Hungary,HU,29548147.0005429,166081739.28774306,0.17791328009486695,aluminium,2006
Iceland,IS,16783656.642177377,16813955.492418114,0.9981979939072397,aluminium,2006
India,IN,958564390.1333791,1036405314.2884655,0.9248933567959101,aluminium,2006
Indonesia,ID,140006024.30999073,234329483.89579138,0.5974750679357651,aluminium,2006
Iran,IR,108901581.3967222,122645720.79341653,0.8879362499744704,aluminium,2006
Italy,IT,175090743.77533698,955072060.401508,0.18332725983181794,aluminium,2006
Japan,JP,6557703.789875616,2966804504.772981,0.002210359253306247,aluminium,2006
Montenegro,ME,2036020.5918929912,2036558.310088318,0.9997359671988456,aluminium,2006
Netherlands,NL,161165425.39073172,738736080.6898106,0.21816373885547874,aluminium,2006
New Zealand,NZ,43054692.33410317,45227302.71454995,0.9519624153985234,aluminium,2006
Norway,NO,249465577.0970834,278567708.91960657,0.8955294138886646,aluminium,2006
Poland,PL,44922305.687911555,264392880.36481407,0.16990739548631925,aluminium,2006
Romania,RO,162292080.48228136,165680234.62085897,0.9795500401944081,aluminium,2006
Slovakia,SK,51800488.30865357,61758455.72670924,0.8387594491979977,aluminium,2006
Slovenia,SI,50829380.02227412,93085383.39281388,0.5460511432582026,aluminium,2006
South Africa,ZA,278764537.1495574,280910051.14083713,0.9923622740355273,aluminium,2006
Spain,ES,281385927.0324687,539550286.0433767,0.521519373283859,aluminium,2006
Sweden,SE,64246941.579919055,153609763.85694873,0.4182477725813701,aluminium,2006
Switzerland,CH,9230112.649049103,232111753.35876116,0.03976581330107258,aluminium,2006
Tajikistan,TJ,188129825.0,188129825.0,1.0,aluminium,2006
Turkey,TR,52949570.58770037,329555304.0017952,0.1606697569261757,aluminium,2006
Ukraine,UA,5726624.421942607,5825186.745801265,0.9830799718258472,aluminium,2006
United Kingdom,GB,174115382.3853266,318155393.90927994,0.5472652223365244,aluminium,2006
USA,US,2152399358.620221,5274168968.289374,0.40810208614122784,aluminium,2006
Venezuela,VE,167334634.31638315,167403134.11262643,0.999590809356071,aluminium,2006
Australia,AU,7853123771.522419,7856059064.924699,0.9996263656652754,alumina,2006
Azerbaijan,AZ,346922983.29622453,346923484.14258105,0.9999985563204009,alumina,2006
Brazil,BR,3364740522.2128997,3400517183.1663747,0.9894790530303506,alumina,2006
Canada,CA,1268458542.7336159,5861749458.980842,0.21639589880290747,alumina,2006
China,CN,13635450940.144732,20100047538.733746,0.6783790393464777,alumina,2006
France,FR,495846224.1986789,1040054884.8732795,0.476750055607972,alumina,2006
Germany,DE,1200879408.1832652,1841950091.101309,0.6519608831883468,alumina,2006
Greece,GR,440481718.6126762,440732779.57690996,0.9994303555899001,alumina,2006
Guinea,GN,41378285.60223058,41393388.40690346,0.9996351396864538,alumina,2006
Hungary,HU,138575050.21174073,139435651.5059389,0.9938279680633794,alumina,2006
India,IN,2025659821.226943,2158630836.460336,0.9384002984727877,alumina,2006
Iran,IR,247405366.7874792,420559059.61028665,0.5882773444869758,alumina,2006
Ireland,IE,279332219.3138437,279440754.37289506,0.9996115990335951,alumina,2006
Italy,IT,766479535.915229,860999354.2305738,0.8902208023142923,alumina,2006
Jamaica,JM,104656984.28112336,104657480.48420079,0.9999952587901492,alumina,2006
Japan,JP,175376366.93890005,208056295.27958423,0.8429274716404559,alumina,2006
Kazakhstan,KZ,2951151.961512103,2955554.332731626,0.9985104752868968,alumina,2006
Montenegro,ME,236975820.02550718,236976053.6474291,0.9999990141538846,alumina,2006
Romania,RO,572691055.5078014,588335631.3960624,0.9734087567480183,alumina,2006
Russian Federation,RU,3253788723.645797,7529900071.348637,0.4321157907561753,alumina,2006
Spain,ES,560208717.670281,591354213.7941563,0.947331911403752,alumina,2006
Suriname,SR,117636452.85450718,117636879.95602123,0.999996369323003,alumina,2006
Turkey,TR,139790795.35656524,155968330.14446995,0.8962767968797266,alumina,2006
Ukraine,UA,280222879.46630204,280319810.5030874,0.9996542126772582,alumina,2006
USA,US,3958500921.7575216,5411173274.4360895,0.7315420743332315,alumina,2006
Venezuela,VE,1079243593.628337,1080042919.7980623,0.9992599125876638,alumina,2006
Argentina,AR,120096412.22293039,121312031.66509008,0.9899793991949974,aluminium,2007
Australia,AU,311567882.05131435,313514831.093458,0.9937899300159001,aluminium,2007
Azerbaijan,AZ,9290585.879660662,9291489.78226908,0.9999027171498223,aluminium,2007
Bahrain,BH,440592085.04672223,441429358.7016315,0.9981032669476904,aluminium,2007
Brazil,BR,841353867.3909402,851034288.8235865,0.9886251099870161,aluminium,2007
Cameroon,CM,24098955.83296821,24106145.05087127,0.9997017682467316,aluminium,2007
Canada,CA,698089989.807928,718535965.9384164,0.971544950984067,aluminium,2007
China,CN,11461796670.020048,11550342285.872437,0.9923339400979752,aluminium,2007
Egypt,EG,197907988.71448955,199791341.95048067,0.9905733991392984,aluminium,2007
France,FR,351129256.111672,763464652.4100118,0.4599155376784899,aluminium,2007
Germany,DE,463251239.161244,1840176572.4851012,0.2517428197314987,aluminium,2007
Greece,GR,117149616.38101833,226352015.1423752,0.5175549963950236,aluminium,2007
India,IN,873313000.1673737,999264283.1012006,0.8739559843538697,aluminium,2007
Indonesia,ID,146570547.56672212,256723097.9453406,0.5709285558634414,aluminium,2007
Iran,IR,161569122.41844872,204768795.37249088,0.7890319524737229,aluminium,2007
Italy,IT,162961070.22511032,1085142254.6911604,0.15017484529849984,aluminium,2007
Japan,JP,56356054.3632024,2990298517.537954,0.018846297128088354,aluminium,2007
Montenegro,ME,1940979.495808755,1941316.3816702873,0.9998264652455864,aluminium,2007
Netherlands,NL,157896612.75645843,910041964.6325451,0.17350476010214935,aluminium,2007
New Zealand,NZ,39273109.42094584,41049893.264157586,0.9567164808011052,aluminium,2007
Norway,NO,206017266.0503021,228103821.33495322,0.9031732342080377,aluminium,2007
Poland,PL,42260681.199866794,246705645.4499352,0.17130001675799875,aluminium,2007
Romania,RO,189752699.4747327,196160937.2039143,0.9673317337257616,aluminium,2007
Russian Federation,RU,1013800496.1870166,1016889180.7998923,0.9969626143426503,aluminium,2007
Slovakia,SK,13935168.019449472,18019598.84874068,0.7733339757684644,aluminium,2007
Slovenia,SI,53249736.934166126,107944502.31695117,0.49330661396549885,aluminium,2007
South Africa,ZA,299202487.6127998,300853305.05808884,0.9945128824661897,aluminium,2007
Spain,ES,342488412.67000794,710166168.191724,0.48226517681358505,aluminium,2007
Sweden,SE,55189123.25105117,108577484.74004681,0.5082925192380671,aluminium,2007
Tajikistan,TJ,149244118.41473415,149244834.57684365,0.9999952014278315,aluminium,2007
Turkey,TR,56519058.95045076,389469705.00459784,0.1451179853636717,aluminium,2007
United Arab Emirates,AE,148932264.9763569,156630673.16942227,0.9508499322815381,aluminium,2007
United Kingdom,GB,149604570.17615026,268393147.6463132,0.5574083075075308,aluminium,2007
USA,US,2404246617.991428,5096759125.11198,0.4717206677760359,aluminium,2007
Venezuela,VE,216824539.7631925,216955673.38328663,0.9993955741371074,aluminium,2007
Australia,AU,5657300340.26082,5660142997.019222,0.9994977765120248,alumina,2007
Azerbaijan,AZ,33981069.05484159,33981215.45757445,0.9999956916569673,alumina,2007
Bosnia Herzegovina,BA,242953918.26411948,243345715.26450777,0.9983899572673288,alumina,2007
Brazil,BR,3330415494.633404,3355916186.0237527,0.9924012728635624,alumina,2007
Canada,CA,1292414006.8590968,5304403000.687767,0.24364928658164223,alumina,2007
China,CN,19394890729.36153,24382697687.016846,0.7954366238846823,alumina,2007
France,FR,483948836.60957,1083554379.4415398,0.44663087131722506,alumina,2007
Germany,DE,1187861798.3849173,1724165237.6807818,0.6889489315900721,alumina,2007
Greece,GR,229442834.07071787,229581554.4106176,0.9993957687922453,alumina,2007
Guinea,GN,41198290.0,41198290.0,1.0,alumina,2007
Hungary,HU,129655010.72319396,130827350.11844784,0.9910390343136013,alumina,2007
India,IN,2301977064.3094196,2493709485.601947,0.9231135694035163,alumina,2007
Iran,IR,250000000.0,361609984.9786443,0.6913525908715278,alumina,2007
Ireland,IE,263801695.65756977,263847728.60714704,0.999825532136205,alumina,2007
Italy,IT,577704004.4701334,657864504.7500546,0.8781504402485175,alumina,2007
Jamaica,JM,392975599.71804047,392977011.562489,0.9999964073103338,alumina,2007
Japan,JP,177506881.41001496,214609822.60579088,0.8271144314585778,alumina,2007
Kazakhstan,KZ,49797555.75066513,49820414.78024889,0.9995411714317396,alumina,2007
Montenegro,ME,239975580.88291708,239983921.84261006,0.9999652436728722,alumina,2007
Romania,RO,22741391.338154044,416649777.3827156,0.05458155163554746,alumina,2007
Russian Federation,RU,3331829404.9381413,7974399313.297517,0.4178157217913868,alumina,2007
Spain,ES,750373124.6357473,781259666.8871154,0.9604657151002897,alumina,2007
Suriname,SR,183553112.81902608,183553333.93443477,0.9999987953615227,alumina,2007
Turkey,TR,122364345.2594103,131986884.2653175,0.9270947332420989,alumina,2007
Ukraine,UA,272223456.422273,272261440.59008753,0.9998604864216827,alumina,2007
USA,US,3590116814.0917068,5451271736.542176,0.6585833522158945,alumina,2007
Venezuela,VE,1390829425.507322,1392433526.102222,0.9988479876670378,alumina,2007
Argentina,AR,179244190.6939004,179436221.48840687,0.9989298103085676,aluminium,2008
Australia,AU,299472763.90352947,300977885.4789253,0.9949992286875136,aluminium,2008
Azerbaijan,AZ,40248316.714944236,40342855.56403864,0.9976566148386711,aluminium,2008
Bahrain,BH,623252517.3719926,624922621.142579,0.9973275030954507,aluminium,2008
Brazil,BR,859495173.3916613,867149641.2743368,0.9911728408589009,aluminium,2008
Cameroon,CM,24699564.120882154,24748592.041579265,0.9980189612154606,aluminium,2008
Canada,CA,518284216.1741716,531647247.7049194,0.9748648533620085,aluminium,2008
China,CN,12163210817.825502,12278537673.681824,0.9906074437427906,aluminium,2008
Egypt,EG,199938484.0605792,202467877.96712792,0.9875071841916604,aluminium,2008
France,FR,312485179.8962522,713568501.9337115,0.43791896510207956,aluminium,2008
Germany,DE,517667736.68173414,2101698841.020295,0.2463091888228982,aluminium,2008
Greece,GR,119245942.4083686,266788120.85401458,0.4469687107006519,aluminium,2008
Iceland,IS,325394525.36548233,325926451.92457753,0.998367955236667,aluminium,2008
India,IN,1231082984.8366566,1378722741.4190936,0.8929155571696205,aluminium,2008
Indonesia,ID,159890302.4298715,297044505.39597416,0.5382705268920234,aluminium,2008
Iran,IR,157783517.47198248,174483113.78928185,0.9042910459663909,aluminium,2008
Italy,IT,154082194.26860982,849727464.5089551,0.18133130998378597,aluminium,2008
Japan,JP,58530291.7546268,3090120177.1305833,0.01894110532910624,aluminium,2008
Kazakhstan,KZ,66652473.79227717,67701885.09517978,0.9844995260999413,aluminium,2008
Montenegro,ME,34415525.36611852,44245751.389177114,0.7778266677721479,aluminium,2008
Mozambique,MZ,126915439.7346327,127019050.84980711,0.9991842868098824,aluminium,2008
Netherlands,NL,160703300.4575076,782818605.0148652,0.20528804429022987,aluminium,2008
New Zealand,NZ,26208672.630188886,27536971.47657823,0.9517630743264873,aluminium,2008
Nigeria,NG,1675217.6425824526,3576478.0550703937,0.46839869189396727,aluminium,2008
Norway,NO,277746153.92585564,306838486.68627256,0.9051868197024371,aluminium,2008
Oman,OM,43552590.49563086,44682278.67460763,0.9747173104755118,aluminium,2008
Poland,PL,35035165.70203402,219415799.47667792,0.15967476264514838,aluminium,2008
Romania,RO,200860111.9878286,213564570.34798136,0.9405123315189774,aluminium,2008
Russian Federation,RU,1183195689.9973323,1190067333.4101498,0.9942258364548779,aluminium,2008
Slovakia,SK,39214735.379363365,53409071.018294625,0.7342336167189809,aluminium,2008
Slovenia,SI,46330645.93473737,107318210.95247196,0.4317128055298633,aluminium,2008
South Africa,ZA,222421110.94788012,224389936.07387424,0.9912258759887256,aluminium,2008
Spain,ES,335515671.4140262,611331244.3442981,0.5488279464169932,aluminium,2008
Sweden,SE,68859491.20763065,124159761.89374794,0.5546039244707835,aluminium,2008
Tajikistan,TJ,126164162.0,126164162.0,1.0,aluminium,2008
Turkey,TR,59089697.26406805,603408909.559432,0.09792645804187962,aluminium,2008
Ukraine,UA,1896380.5171087056,1994206.0719910641,0.9509451123149539,aluminium,2008
United Arab Emirates,AE,238158175.75226548,253146654.75464815,0.9407913210746963,aluminium,2008
United Kingdom,GB,126817670.404575,237299596.81804323,0.5344200837467766,aluminium,2008
USA,US,2527334374.189145,5350140913.113049,0.47238650630579054,aluminium,2008
Venezuela,VE,339521435.0664422,340009573.73776513,0.9985643384509537,aluminium,2008
Australia,AU,5531186686.068395,5533610054.373994,0.9995620637735968,alumina,2008
Azerbaijan,AZ,38700747.0,38700747.0,1.0,alumina,2008
Bosnia Herzegovina,BA,206189120.3245055,280714530.9705111,0.7345153085294526,alumina,2008
